Timestamp,Location,Latitude,Longitude,Traffic Volume,Average Speed (km/h),Weather,Rain (mm),Accident,Event,Public Transport Density,Congestion Level
2026-05-02T16:00:00,Airport Road,28.686014,77.246119,81.08,48.83,Clear,0.0,0,0,0.83,Low
2026-05-02T16:15:00,Industrial Belt,28.542926,77.24452,146.86,45.27,Clear,0.0,0,1,0.47,Medium
2026-05-02T16:30:00,Industrial Belt,28.548397,77.227942,124.99,44.58,Cloudy,0.0,0,0,0.5,Medium
2026-05-02T16:45:00,Downtown,28.688401,77.258344,118.96,37.79,Cloudy,0.0,0,0,0.5,Medium
2026-05-02T17:00:00,City Mall,28.667211,77.156738,138.24,25.09,Rainy,0.2,0,0,0.49,Medium
2026-05-02T17:15:00,Airport Road,28.68422,77.272172,205.85,32.06,Clear,0.0,0,0,0.37,High
2026-05-02T17:30:00,Tech Park,28.620251,77.22288,124.58,31.16,Clear,0.0,0,0,0.63,Medium
2026-05-02T17:45:00,Downtown,28.691802,77.252559,200.37,40.65,Rainy,0.53,0,0,0.49,Medium
2026-05-02T18:00:00,Industrial Belt,28.585929,77.245737,209.22,33.56,Cloudy,0.0,0,0,0.62,High
2026-05-02T18:15:00,Industrial Belt,28.612907,77.212637,233.83,25.22,Clear,0.0,0,0,0.54,High
2026-05-02T18:30:00,Airport Road,28.624024,77.240283,190.42,17.66,Cloudy,0.0,0,1,0.84,High
2026-05-02T18:45:00,Airport Road,28.682652,77.258299,208.83,40.98,Rainy,2.18,0,0,0.42,High
2026-05-02T19:00:00,Downtown,28.63753,77.129083,168.53,13.81,Clear,0.0,0,0,0.37,High
2026-05-02T19:15:00,Downtown,28.553078,77.183018,174.36,34.85,Cloudy,0.0,0,0,0.55,Medium
2026-05-02T19:30:00,Downtown,28.557594,77.288638,121.43,24.7,Clear,0.0,0,0,0.53,Medium
2026-05-02T19:45:00,City Mall,28.612212,77.286704,206.86,16.2,Rainy,3.3,0,0,0.39,High
2026-05-02T20:00:00,University Circle,28.664529,77.256735,120.98,30.63,Cloudy,0.0,0,0,0.68,Medium
2026-05-02T20:15:00,University Circle,28.589687,77.144388,86.7,43.28,Cloudy,0.0,0,0,0.66,Low
2026-05-02T20:30:00,Downtown,28.552056,77.276951,107.51,51.67,Cloudy,0.0,0,0,0.26,Low
2026-05-02T20:45:00,Industrial Belt,28.677455,77.273067,126.46,27.72,Clear,0.0,0,1,0.76,Medium
2026-05-02T21:00:00,Industrial Belt,28.65868,77.231725,127.92,55.17,Clear,0.0,0,0,0.89,Low
2026-05-02T21:15:00,City Mall,28.569783,77.242949,136.58,35.99,Rainy,0.33,0,0,0.39,Medium
2026-05-02T21:30:00,University Circle,28.635713,77.169074,125.11,48.79,Cloudy,0.0,0,0,0.56,Medium
2026-05-02T21:45:00,City Mall,28.614322,77.221305,70.78,44.59,Rainy,0.37,0,1,0.64,Low
2026-05-02T22:00:00,University Circle,28.653535,77.281491,141.21,21.67,Cloudy,0.0,1,0,0.38,High
2026-05-02T22:15:00,Downtown,28.584608,77.156119,99.11,53.52,Cloudy,0.0,0,0,0.57,Low
2026-05-02T22:30:00,Industrial Belt,28.591283,77.169666,84.11,30.8,Rainy,2.37,0,0,0.42,Medium
2026-05-02T22:45:00,Tech Park,28.672632,77.275118,138.03,91.23,Rainy,5.02,0,0,0.73,Low
2026-05-02T23:00:00,Airport Road,28.626518,77.199156,78.0,59.42,Clear,0.0,1,0,0.48,Low
2026-05-02T23:15:00,Tech Park,28.665516,77.186631,140.85,45.77,Rainy,0.36,0,0,0.56,Medium
2026-05-02T23:30:00,University Circle,28.635889,77.245175,97.19,45.18,Clear,0.0,0,0,0.63,Low
2026-05-02T23:45:00,Airport Road,28.652947,77.169138,182.35,36.87,Clear,0.0,0,0,0.49,Medium
2026-05-03T00:00:00,Downtown,28.639532,77.173789,112.84,70.47,Clear,0.0,0,0,0.74,Low
2026-05-03T00:15:00,City Mall,28.553126,77.183701,144.47,52.2,Clear,0.0,0,0,0.49,Medium
2026-05-03T00:30:00,Tech Park,28.634038,77.209502,138.36,49.86,Clear,0.0,0,0,0.71,Medium
2026-05-03T00:45:00,Downtown,28.672652,77.230825,141.27,57.39,Cloudy,0.0,0,0,0.63,Medium
2026-05-03T01:00:00,Downtown,28.68769,77.273856,159.77,48.37,Clear,0.0,0,0,0.44,Medium
2026-05-03T01:15:00,Tech Park,28.5884,77.170711,188.29,44.52,Clear,0.0,0,0,0.63,Medium
2026-05-03T01:30:00,Airport Road,28.56229,77.249098,117.24,23.55,Rainy,0.28,0,0,0.83,Medium
2026-05-03T01:45:00,Downtown,28.572018,77.189437,104.62,41.09,Clear,0.0,0,0,1.0,Medium
2026-05-03T02:00:00,Airport Road,28.535634,77.273861,110.51,37.64,Storm,1.73,0,0,0.66,Medium
2026-05-03T02:15:00,Downtown,28.622492,77.163036,183.48,49.85,Storm,3.57,0,0,0.64,Medium
2026-05-03T02:30:00,Tech Park,28.597364,77.271704,121.55,30.89,Clear,0.0,0,0,0.49,Medium
2026-05-03T02:45:00,Downtown,28.628602,77.185035,136.05,43.03,Clear,0.0,0,0,0.88,Medium
2026-05-03T03:00:00,University Circle,28.551692,77.20782,119.35,41.54,Clear,0.0,0,0,0.78,Medium
2026-05-03T03:15:00,City Mall,28.571901,77.193036,146.98,34.84,Cloudy,0.0,0,0,0.54,Medium
2026-05-03T03:30:00,City Mall,28.689081,77.135906,122.44,56.8,Storm,1.73,0,0,0.41,Low
2026-05-03T03:45:00,Industrial Belt,28.581019,77.288333,88.6,63.31,Rainy,1.33,0,0,0.44,Low
2026-05-03T04:00:00,Airport Road,28.608092,77.185536,93.43,46.8,Storm,2.25,0,1,0.68,Medium
2026-05-03T04:15:00,Tech Park,28.54714,77.269266,171.68,30.22,Clear,0.0,0,0,0.58,Medium
2026-05-03T04:30:00,Downtown,28.594178,77.248933,160.37,40.5,Cloudy,0.0,0,0,0.59,Medium
2026-05-03T04:45:00,City Mall,28.693855,77.288462,103.05,63.19,Rainy,2.14,0,0,0.3,Low
2026-05-03T05:00:00,Downtown,28.65502,77.136503,138.74,8.0,Rainy,1.15,0,1,0.45,High
2026-05-03T05:15:00,City Mall,28.63315,77.241653,208.87,39.8,Clear,0.0,0,0,0.49,High
2026-05-03T05:30:00,Industrial Belt,28.62267,77.14356,132.61,65.62,Cloudy,0.0,0,0,0.89,Low
